Park_Name,longitude_right,latitude_right
月寒公園,141.385182945,43.0312637016
平岡公園,141.465703691,43.0031162268
中島公園,141.354386808,43.0443580891
豊平公園,141.378368472,43.0429628876
厚別公園,141.463645676,43.0191873774
大通公園,141.346856165,43.0598102555
豊平川緑地,141.386721481,43.0532740188
西岡公園,141.377131533,42.9830522272
手稲稲積公園,141.258647498,43.1155711916
創成川公園,141.357332124,43.0601917496
農試公園,141.303771261,43.090022463
西岡中央公園,141.378927336,43.0111295871
円山公園,141.308889359,43.0508614263
前田森林公園,141.256640539,43.1447336966
清田南公園,141.429130229,42.9890826441
滝野すずらん丘陵公園,141.381600535,42.9117156332
百合が原公園,141.36539105,43.1284217799
荒井山緑地,141.294452669,43.0517999809
発寒西陵公園,141.29801458,43.105739801
伏籠川緑地,141.360188719,43.1589477681
前田公園,141.256505957,43.1296407186
川下公園,141.44424009,43.063204259
モエレ沼公園,141.427001219,43.1234810501
北郷公園,141.428764144,43.065817447
旭山記念公園,141.31408185,43.0390931118
吉田川公園,141.427208024,43.0168103656
山口緑地,141.219830587,43.1534047622
明日風公園,141.228439274,43.1393975637
北発寒公園,141.274206523,43.1104301846
